Name	Set	ImageFile	Card Type	Color	Level	Play Cost	Evolution Cost	DP	Digimon Type	Attribute	Stage	Main Effect	Source Effect	Shield Effect	script
Tsunomon	ST2	ST2-01	Digitama	Blue	2				Lesser		Baby		[Your Turn] As long as you are battling an opponent Digimon that has no Evolution Bases, this Digimon gets +1000 DP.		
Gomamon 	ST2	ST2-02	Digimon 	Blue	3	2	0	3000	Marine Animal	Vaccine	Child				
Gabumon	ST2	ST2-03	Digimon	Blue	3	3	0	2000	Reptile	Data	Child		[When Attacking] Choose 1 opponent Digimon that is Lv.5 or below, and discard its bottom-most Evolution Base.		
Bearmon	ST2	ST2-04	Digimon	Blue	3	3	0	4000	Beast	Vaccine	Child				
Ikakkumon	ST2	ST2-05	Digimon	Blue	4	4	2	5000	Marine Animal	Vaccine	Adult				
Garurumon	ST2	ST2-06	Digimon	Blue	4	5	2	4000	Beast	Vaccine	Adult		[When Attacking] Choose 1 opponent Digimon and discard its bottom-most Evolution Base.		
Grizzmon	ST2	ST2-07	Digimon	Blue	4	5	2	6000	Beast	Vaccine	Adult	[Blocker] (When the opponent Digimon performs an attack, if this Digimon is in the Active position, you may Rest this Digimon and change the target of the attack to this Digimon.). [When Attacking] Memory -2.			
Were Garurumon	ST2	ST2-08	Digimon	Blue	5	7	3	7000	Beast Man	Vaccine	Perfect		[Your Turn] As long as there is an opponent Digimon that has no Evolution Bases, this Digimon gains [Security Attack + 1] (The number of cards this Digimon Checks when attacking Security increases by 1).		
Zudomon	ST2	ST2-09	Digimon	Blue	5	6	3	7000	Marine Animal	Vaccine	Perfect	[During Evolution] Choose 1 opponent Digimon and discard its bottom-most 2 Evolution Bases.			
Plesiomon	ST2	ST2-10	Digimon	Blue	6	10	3	12000	Plesiosaur	Data	Ultimate				/ch
Metal Garurumon	ST2	ST2-11	Digimon	Blue	6	12	4	11000	Cyborg	Data	Ultimate	[When Attacking] (Once per Turn) Turn this Digimon Active.			/ch
Ishida Yamato	ST2	ST2-12	Tamer	Blue		2						[Beginning of Your Turn] If there is an opponent Digimon that has no Evolution Bases, Memory +1.		[Security] Enter this card without paying its Cost.	
Hammer Spark	ST2	ST2-13	Option	Blue		0						[Main] Memory +1.		[Security] Memory +2.	
Sorrow Blue 	ST2	ST2-14	Option	Blue		2						[Main] Choose 1 opponent Digimon that has no Evolution Bases. That Digimon cannot attack or block until the end of the opponent's next turn.		[Security] Choose 1 opponent Digimon that has no Evolution Bases. That Digimon cannot attack or block until the end of your next turn.	
Kaiser Nail	ST2	ST2-15	Option	Blue		4						[Main] Choose 1 of your Digimon, then choose 1 Digimon card in its Evolution Bases; Enter that card as a separate Digimon without paying its Cost.		[Security] Activate this card's [Main] effect.	
Cocytus Breath	ST2	ST2-16	Option	Blue		7						[Main] Choose 1 opponent Digimon and return it to the opponent's hand. Discard that Digimon's Evolution Bases.		[Security] Activate this card's [Main] effect.	
